Date,Value
2018-12-31,82319724.0
2017-12-31,81101892.0
2016-12-31,79821724.0
2015-12-31,78529409.0
2014-12-31,77231907.0
2013-12-31,75928564.0
2012-12-31,74653016.0
2011-12-31,73443863.0
2010-12-31,72326988.0
2009-12-31,71321399.0
2008-12-31,70418604.0
2007-12-31,69581848.0
2006-12-31,68756810.0
2005-12-31,67903469.0
2004-12-31,67010930.0
2003-12-31,66089402.0
2002-12-31,65145367.0
2001-12-31,64192243.0
2000-12-31,63240194.0
1999-12-31,62287397.0
1998-12-31,61329676.0
1997-12-31,60372568.0
1996-12-31,59423282.0
1995-12-31,58486456.0
1994-12-31,57564204.0
1993-12-31,56653804.0
1992-12-31,55748948.0
1991-12-31,54840590.0
1990-12-31,53921760.0
1989-12-31,52992487.0
1988-12-31,52053765.0
1987-12-31,51100924.0
1986-12-31,50128541.0
1985-12-31,49133937.0
1984-12-31,48114155.0
1983-12-31,47073472.0
1982-12-31,46025411.0
1981-12-31,44988414.0
1980-12-31,43975971.0
1979-12-31,42994041.0
1978-12-31,42039992.0
1977-12-31,41108297.0
1976-12-31,40189567.0
1975-12-31,39277258.0
1974-12-31,38370283.0
1973-12-31,37472336.0
1972-12-31,36587261.0
1971-12-31,35720599.0
1970-12-31,34876303.0
1969-12-31,34055390.0
1968-12-31,33256464.0
1967-12-31,32477992.0
1966-12-31,31717507.0
1965-12-31,30972994.0
1964-12-31,30244261.0
1963-12-31,29531365.0
1962-12-31,28832827.0
1961-12-31,28146910.0
1960-12-31,27472345.0
1959-12-31,26808621.0
1958-12-31,26155911.0
1957-12-31,25514810.0
1956-12-31,24886111.0
1955-12-31,24270585.0
1954-12-31,23668906.0
1953-12-31,23081575.0
1952-12-31,22508947.0
1951-12-31,21951206.0
1950-12-31,21408401.0
